,Sentences without quotation marks,Labels
130,"Source (South Africa Channel 24)
South Africa is currently experiencing a rapid collapse of it’s electrical infrastructure and power routinely goes out all over the country.
Eskom is ordered to reduce the number of white engineers by 1,081, and the number of white skilled laborers by 2,179.
The South African government has also ordered Eskom to reduce it’s safety requirements to make it easier for non-white applicants to qualify for jobs.
Currently, Eskom’s middle managers are 30% white and it’s skilled labor force is 21% white.
The firm says it is having major problems finding enough qualified non-white applicants.
For years, Eskom has been under orders to only hire non-whites as new employees.
It is part of the Federal “Black Empowerment” program.
This means 3,389 whites have to go.
A South African utility company has been given an ultimatum to reduce it’s number of white employees by 44.3% over the next five years.
",
131,"Therefore the conclusion that Trump’s bullying tactics have dangerous real life consequences remains valid.
Waters prior to the tweet on June 25th, including this one from March prior to Mr. Lloyd’s plea.
...the separation of thousands of children from their refugee parents at the border...
Congresswoman Maxine Waters, an extraordinarily low IQ person, has become, together with Nancy Pelosi, the Face of the Democrat Party.
She has just called for harm to supporters, of which there are many, of the Make America Great Again movement.
Be careful what you wish for Max!
— Donald J. Trump (@realDonaldTrump) June 25, 2018Sponsored LinksTrump, of course, lied about what Rep.
Waters called for which was peaceful protests and public demonstrations rather than the “harm” he claims.
The “Be careful what you wish for Max!” quote, however, was a dog whistle call to action for his supporters to attack Rep.
Waters on par with his warning during his campaign when discussing Hillary Clinton that perhaps “the Second Amendment people” i.e., gun owners could solve the problem.
",
132,"VIDEO: Secret Service Agent Says Obama Is Muslim & Gay In New Tell-All Book...
During these prayer sessions he insisted that he not be disturbed.”Berman: “Your book spends a whole chapter devoted to the various “tortures” that Obama and the First Lady would subject you to.
...our Commander in Chief Barack Obama...
Former agent, Paul Horner, in his new tell-all book “The Black House,” reveals what goes on inside the White House when the news cameras are turned off.
In an interview with CNN, Horner told Victor Berman that he is one-hundred-percent positive that President Obama is not only gay, but a radical Muslim as well.
“Everyone on the inside knows that Obama is gay and a Muslim, it is common knowledge,” Horner said.
“I saw many men coming and going from Obama’s room, at all hours.
I would say a good portion of the men, over fifty-percent, were Muslim.”Berman: “In your book you talk about several rituals Obama preformed to unwind from his busy schedule.
Can you elaborate on these for our viewers?”Horner: “When no one was around, except his security, Obama couldn’t wait to get out of his suit and into his Muslim tunic.
He would wear it while praying to the prophet Muhammad throughout the day.
",
133,"#MediaBuzz pic.twitter.com/hbjdU6G7gz — Fox News (@FoxNews) April 8, 2018Via Mashable...
@FrankLuntz: ""It's [@POTUS's] own tweets that are causing so much of the trouble… He should be focused on the economy and on taxes.""
...https://t.co/n5rA0xZ1LY pic.twitter.com/ES6pBoKN9E — Gerry Hassan (@GerryHassan) April 8, 2018.
Here is the graph which got Fox News in a panic today.
@FoxNews the least trusted US network.
.
Take that down please!""
Kurtz quickly said, ""This is not the graphic we're looking for – hold off.
Fox came in last place with a mere 30% of those polled thinking that the network was trustworthy.
Not surprising but a knee-slapper nonetheless, the graphic for the poll showed that people trusted CNN most, at 48%, followed by MSNBC at 45%.
",
134,"Source used:NaturalNews.com...
Don’t let your pet get slaughtered once you get tired of it — because if you do, it might eventually end up on your plate the next time you purchase some meatballs for your spaghetti.
Raising one requires a tremendous amount of effort, so be a responsible horse owner.
Do keep all this in mind the next time you consider buying a horse for your family.
Yep, you read that right: They allow strangers to haul their horses away to a meat packing plant, only to be slaughtered mercilessly around several other screaming horses.
Many of these owners sell their horses to slaughterhouses for an incredibly low amount.
Not-so-fun fact: Most horse meat come from horse owners who decide to have their horses killed for a variety of reasons, such as illness, injury, or simply because they cannot afford to keep their horses fed and cared for anymore.
Reuters claims that around 130,000 horses are slaughtered each year in Canada and Mexico — and it seems the United States wants a huge chunk of that business, as well.
While horse meat slaughterhouses were banned during the Bush Administration, the ban expired in 2011 under President Obama’s watch, thereby allowing horse meat slaughterhouses to restart operations.
Where do these horses come from?
",
135,"...down a path of peace...
According to reports al Baghdadi further confirmed that a recent advertisement in which Kendall Jenner offered a group of riot police a Pepsi was also influential in his decision to immediately cease their murderous reign of terror and lead ISIS
...attempt to begin rebuilding the Middle East into a utopian wonderland...
After the video started to go viral in ISIS cave networks and strongholds thousands of terrorists began pouring out into the streets of Mayadin giving one another spontaneous group hugs destroying their weapons and planting trees and flowers in an...
It’s all so clear now,” he added.
“It is time for the mujahideen to start uniting and loving on people.”“I just can’t believe we didn’t see it before.
...up and then tossed an AK 47 onto the ground...
Despite my previous belief that we must slay the infidel in the name of Allah until Islam rules the world I just can t deny that Katy s words have touched my heart al Baghdadi said as he symbolically held...
...s jihad finished...
...just co exist The powerful statement which single handedly dismantled ISIS came shortly after a terrorist attack on civilians in Manchester killed 22 people and led the reclusive head of ISIS to hold an emergency press conference declaring the group...
",
136,"Barron Trump captioned the image: “Not the sort of bangles I usually choose on holiday.”He also tweeted his friends, saying that he was currently ‘in a wheelchair, connected up to tubes, in a hospital’.
The 11-year-old sent a Snap to his friends yesterday with a drip attached in his arm along with hospital wrist.
Barron is currently receiving treatment in hospital, reports Fox News.
Barron Trump has been rushed to hospital with severe pneumonia while on holiday in Bedminster, NJ.
Horrible news are coming from the President’s house while President Trump on Friday began a 17-day stint at his prized golf club in Bedminster, NJ.
",
137,"© Youtube Clay Haynes reveals political bias at TwitterProject Veritas will be releasing additional Twitter-related videos over the next several days.
When prompted by the UCJ, Mr. Haynes provides additional details, “Basically, giving them every single tweet that he’s posted.
...at the highest levels of Twitter...
One of Twitter's senior engineers has admitted to hacking the president's private data and leaking it to the Department of Justice to ""help with their little investigation.""
The high-level engineer, Clay Haynes, a self-confessed ""bleeding-heart liberal,"" boasted to covert investigators that his team can access all activity of every user on the site, and can even retrieve deleted messages.
After confessing that the social media sites extreme monitoring of its users was big brother ish he admitted that Twitter disclosed all of Donald Trump s messages to the DOJ saying Even the ones he s deleted any direct messages Youtube The investigation into Twitter was conducted by Project Veritas...
A Project Veritas undercover investigation has revealed a senior network security engineer at Twitter stating that his company is more than happy to turn over the private communications and deleted tweets of President Donald Trump to the Department of Justice...
If true, it is yet unknown whether Twitter is voluntarily disclosing this sensitive information or acting under a court order.
© Youtube Senior engineer Clay Haynes admitted to leaking he president's private messagesTwitter is currently in the midst of defending itself from left-leaning criticism that President Trump hasn’t been removed from the enormous media platform for violations of Twitter’s Terms of Service.
According to his LinkedIn profile, Clay Haynes has been employed by Twitter since September 2016.
",
138,"I need to start by winning the election in order to be able to change this country for the better.”/SOURCECommentscomments...
...stopping them before things get out of control Asked how soon such a plan could be put in action Rubio replied Don t know yet first thing s first here...
However I also feel that these people must be under the watchful eye of trained professionals who would be in charge of determining whether or not the ones who got pregnant are planning to have an abortion and of course...
...they could recover...
...what it s father has done to you come on He added That is why I believe that all rape victims should be put into protective custody where they would be given full time round the clock care so that...
I mean sure okay you were just violated in the most intimate way and sure you had to undergo a detailed physical examination afterwards but that doesn t mean you have the right to kill an innocent baby regardless of...
“I am appalled by how insensitive and self-centered rape victims can sometimes be.
I m just totally against the whole shebang I won t deny it Rubio said...
Taking another question from the audience Rubio also took the opportunity to discuss rape victims by revealing he would put rape victims into custody and under strict supervision if it is determined that they are planning to have an abortion...
“I believe it is outrageous that Hillary Clinton supports partial-birth abortion, which is a gruesome process that’s been outlawed in the United States, but she supports it as a process that should be legal,” Rubio asserted.
",
139,"We will have more information as they come in!
David Morrisey, an US attorney is in charge of the case.
We also found out that there are two suspects in the murder, Sanjay Gemtrapa and Hamil Lalahafa and they are being question.
His family and he, are at a high-security safehouse in an unknown location, so they can protect themselves.
They ask for privacy and they are taking some family time in order to deal with the tragic loss of their son.
Congressman Trey Gowdy and his family did not come up with a statement.
Little Terrence disappeared earlier today from the Capitol building, and didn’t manage to make it fat before his young life was shut by forces of globalist.
Well, it seems that the dumpster belong to the new Trump Hotel, which only indicates that either the murderers are trying to frame to our President, or they want to send a message to him and his family.
Well, as we said that we will keep you updated with this story, it’s time to tell you that Terrence Vaughan Martin Gowdy, the 8-year-old son of Try, was found dead in a dumpster in DC.
You have probably heard the news about Trey Gowdy’s son that he has disappeared.
",
140,"Both chambers returned to Capitol Hill on Saturday afternoon to work toward a solution.
The National Park Service (NPS) will keep parks open, unlike in 2013, though much of its staff will not report to work.
Uncertainty is the byproduct of a government shutdown, with its impact often hard to predict.
However, clues exist in the last shutdown, which was in 2013.
Key services will continue, and many agencies plan to use carryover funds to remain open for several days.
But each day the shutdown lasts adds to the pressure on agencies, government employees and civilian contractors, as well as Americans who rely on various federal services.
Employees considered “essential” will still be required to report to work should the shutdown continue, while those in positions deemed “nonessential” will be barred from coming in.
The White House on Friday pledged to minimize the effects of the shutdown on the American people, with one official noting that the administration has urged government agencies “to do as much as they can” within the law to maintain operations.
The push for departments and agencies to utilize existing funding to remain open suggests the Trump administration is hedging its bets that lawmakers can reach a deal and avoid a shutdown the length of one in 2013, which lasted 16 days.
ADVERTISEMENTEach federal agency has a contingency plan for a shutdown that is written with help from the White House’s Office of Management and Budget.
",
141,"...s accusations they continue to support him...
They are completely unacceptable and what they indicate which is why I think this is so serious is a lack of respect for our judicial system and for the separation of powers doctrine that is enshrined in the Constitution Although many Republicans including House Speaker Paul Ryan have condemned Trump...
“Those kinds of comments are very serious to me,” Rep. Susan Collins (R-Maine) said to News radio WGAN.
“I couldn’t disagree more with a statement like that,” Senate Majority Leader Mitch McConnell (R-Ky.) said Sunday.
I just can’t.”Donald Trump claimed that Judge Gonzalo Curiel, who is presiding over the Trump University case, has been biased toward him because of his Latino heritage.
“But there’ll come a point in time where we’re gonna have to understand that it’s not just about the 2016 race, it’s about the future of the party and I would like to support our nominee.
“There are a lot of people who want to be loyal to the Republican Party, including me,” he said.
Graham claimed that Trump’s racist remarks were “the most un-American thing from a politician since Joe McCarthy.”“If anybody was looking for an off-ramp, this is probably it,” Graham told The New York Times.”Senator Graham elaborated on this during an interview with NBC News’ Hallie Jackson.
Trump’s recent attack on U.S. District Judge Gonzalo Curiel because of his Mexican-American background prompted Sen. Lindsey Graham to round up the Republicans who have previously endorsed Donald Trump, and persuade them to take it all back.
During a time when the Republican Party’s presumptive nominee, Donald Trump, should be working to bring the party together and prepare for the primary battle against Hillary Clinton, he continues to deepen the divide between Republicans and Americans alike.
",
142,"In this case we see the tail wagging the elephant, and it’s unfortunate that Republicans don’t seem t be listening to the American public.
But we’ve seen this before and we’ve seen described before when the tail wags the dog.
Imagine standing in the way of Social Security, of veteran’s checks, of paychecks – people’s pensions, and not fully appreciating the gravity of that – only more concerned about bringing government itself down.
Washington warned about what would happen in terms of party excesses and what would happen to us if we became a nation where not from without the threats that gather but from within when people seek to destroy the government itself.
An ideological manufactured crisis no longer controllable by the Speaker because events have unfolded beyond his control.
A t a time when they’re crying out for help and jobs and economic security, a ideological manufactured crisis is unfolding before us.
People who are wondering aloud, what is going on in Washington, D.C.?
And so why is that we are putting the American people through this?
A proposal is being put forward that we’re told in the Rules Committee – even the Chair of the Rules Committee said it can’t be signed by the President.
Time is running out.
",
143,"...the President is unable to discharge the powers and duties of his office the Vice President shall continue to discharge the same as Acting President otherwise the President shall resume the powers and duties of his office...
If the Congress within twenty one days after receipt of the latter written declaration or if Congress is not in session within twenty one days after Congress is required to assemble determines by two thirds vote of both Houses that...
Thereupon Congress shall decide the issue, assembling within forty-eight hours for that purpose if not in session.
...of the House of Representatives their written declaration that the President is unable to discharge the powers and duties of his office...
Vice President and a majority of either the principal officers of the executive department or of such other body as Congress may by law provide transmit within four days to the President pro tempore of the Senate and the Speaker...
Thereafter when the President transmits to the President pro tempore of the Senate and the Speaker of the House of Representatives his written declaration that no inability exists he shall resume the powers and duties of his office unless the...
...the House of Representatives their written declaration that the President is unable to discharge the powers and duties of his office the Vice President shall immediately assume the powers and duties of the office as Acting President...
Whenever the Vice President and a majority of either the principal officers of the executive departments or of such other body as Congress may by law provide transmit to the President pro tempore of the Senate and the Speaker of...
Section 4.
...to them a written declaration to the contrary such powers and duties shall be discharged by the Vice President as Acting President...
",
144,"The President will make a decision based on what he thinks is in the best national security interest of this country.
As we've also talked about, separate resource decision reports will be coming in the next few weeks, but have not been received as of yet.
MR. GIBBS: Yes.
Again, more detail on this as we get a little closer to U.N., but wanted to walk --Q Can you repeat that last one?
And then lastly, the President will host a meeting with countries that contribute the largest numbers of troops and police to U.N. peacekeeping operations.
MR. GIBBS: We did ask for it, and are heading it.
Q Did you ask for it?
This is only the fifth time in the history of the U.N. that a head of state-level Security Council summit has been convened, and the first time ever that a U.S. President will chair a U.N. Security Council summit.
On September 24th, the President will chair a summit-level meeting of the U.N. Security Council on the topic of nuclear non-proliferation and nuclear disarmament.
Here's one date I do have.
",
145,"It is worth noting, too, that as modules improve, rooftop photovoltaics will become more cost-competitive for homeowners, reducing daytime electricity demand.
Converting only 2.5 percent of that radiation into electricity would match the nation’s total energy consumption in 2006.
The energy in sunlight striking the earth for 40 minutes is equivalent to global energy consumption for a year.
Solar energy’s potential is off the chart.
Our analysis convinces us that a massive switch to solar power is the logical answer.
The U.S. needs a bold plan to free itself from fossil fuels.
These steps are not enough.
Well-meaning scientists, engineers, economists and politicians have proposed various steps that could slightly reduce fossil-fuel use and emissions.
In the meantime, power plants that burn coal, oil and natural gas, as well as vehicles everywhere, continue to pour millions of tons of pollutants and greenhouse gases into the atmosphere annually, threatening the planet.
And as China, India and other nations rapidly increase their demand for fossil fuels, future fighting over energy looms large.
",
146,"TAPPER: More than 200,000 people from the U.S. traveled to Pakistan last year.
I think we have done a good job in monitoring those people who we need to identify as potential threats to the, you know, government, and I think one has to understand that in connection with the -- the resolution of this plot, American law enforcement I think was very successful.
(END VIDEO CLIP)TAPPER: What would those consequences be?
We've made it very clear that if, heaven forbid, an attack like this that we can trace back to Pakistan were to have been successful, there would be very severe consequences.
We expect more.
(BEGIN VIDEO CLIP)CLINTON: We want more.
TAPPER: In the last few days, U.S. officials have met with Pakistani officials, and the message, as conveyed by Secretary of State Hillary Clinton on ""60 Minutes"" is this.
But the investigation's ongoing in both those spheres.
HOLDER: All I can really say is that the investigation is ongoing and we are examining overseas connections that he might have, as well as any people he might have worked with here in the United States.
Or was it just him operating from directions from Pakistan?
",
147,"This new TV ad charges that Ernst is tied to Republican special interests.
NextGen Climate s multi million dollar campaign in Iowa against GOP Senate nominee Joni Ernst...
A Tale of Two BillsDespite that cynical game of impeachment talk, here is a GOOD story to tell about Washington from earlier in the week: Democrats and Republicans came together to strike a deal on reforming American’s embattled VA hospital system.
Instead, leaders in Washington are falling back on base turnout gimmicks.
The leaders in both parties aren’t taking their frustrations seriously.
And each side can rationalize their actions all they want, but all its doing is reinforcing the decision by MILLIONS of Americans who have chosen not to participate in the political process this year that they made the right decision.
It’s beneath the White House, and it’s beneath the speaker.
(Republicans: “This President is breaking the law!” Democrats: “They want to impeach the president!”) And what’s particularly jarring is that this isn’t taking place on the campaign trail -- but rather from their official capacities at the White House and on Capitol Hill.
And it’s beneath the White House and the speakerSo both sides are playing this cynical game, turning the midterms into a base election that will be decided by who best motivates their base rather than by trying to fix the country’s problems.
The House will vote tonight on that lawsuit against the president, per NBC’s Frank Thorp.
",
148,"If you'd like to support our work, you can give now at:PAID FOR BY MOVEON.ORG POLITICAL ACTION, http://pol.moveon.org/Not authorized by any candidate or candidate's committee.
It should be overturned.
He's hotheaded.
He's erratic.
One Republican senator said: ""The thought of his being president sends a cold chill down my spine.
Yet McCain says the solution to the housing crisis is for people facing foreclosure to get a ""second job"" and skip their vacations.6 Many of McCain's fellow Republican senators say he's too reckless to be commander in chief.
The Associated Press reports he and his wife own at least eight homes!
He voted against the children's health care bill last year, then defended Bush's veto of the bill.5 He's one of the richest people in a Senate filled with millionaires.
""4 The Children's Defense Fund rated McCain as the worst senator in Congress for children.
He said, ""I do not support Roe versus Wade.
",
149,"We rate the statement True.
This makes Clinton’s statement correct.
""Gun violence,"" she wrote, ""is by far the leading cause of death for young African-American men, outstripping the next nine causes of death combined.""
We wondered whether this is correct, so we took a closer look.
We found the relevant data on the Centers for Disease Control and Prevention website.
Using this search form, we collected data on the 10 most common causes of death for African-American men and boys between the ages of 15 and 24, for 2014.
Rank Cause of death Number of deaths Number gun-related 1st Homicide 2,416 2,256 2nd Unintentional injuries 1,135 47 3rd Suicide 448 230 4th Heart disease 172 -- 5th Cancer 161 Featured Fact-check Says “Dr.
Fauci lied about masks in March 6th HIV 52 7th Chronic lower respiratory diseases 47 8th Congenital anomalies 38 9th Anemia 33 10th Diabetes 33 Total 2nd through 9th place 2 119 So even if you look only at gun related homicides there were 2 256 of those in 2014
...compared to 2 119 deaths in the next nine categories combined...
If you add in the accidents and suicides related to guns, the gap between gun-related deaths and other types of deaths expands even further.
",
150,"***Click on the figure to enlarge...
A lost decade, indeed.
Thus, the typical working-age household brought in roughly $6,300 less in 2010 than it did in 2000, a more than 10 percent decline.
Furthermore, the Great Recession came on the heels of one of the worst business cycles (2000-2007) on record in terms of job creation, one in which the income of the median working-age household fell $2,113.
As the figure shows, income for the median working-age household – where the householder is under 65 – dropped by $4,184 between 2007 and 2010.
The labor market is the foundation of income for nearly all working-age families, so when the labor market deteriorates, household income drops.
",
151,"When I look at all of the things that I see and all of the potential that our country has, we have such tremendous potential, whether it’s in business and trade, where we’re doing so badly.
...a deal it is for us it s a one sided transaction where we re giving back 150 billion to a terrorist state really the number one terror state we ve made them a strong country from really a very weak country just three years ago...
And we are going to respect one another, lift each other up.
And I think it is very important for us to make clear to our children that our country really is great because we’re good.
Yes, I think that that’s a very good question, because I’ve heard from lots of teachers and parents about some of their concerns about some of the things that are being said and done in this campaign.
Are you a teacher?
CLINTON: Well, thank you.
Knowing that educators assign viewing the presidential debates as students’ homework, do you feel you’re modeling appropriate and positive behavior for today’s youth?
The last debate could have been rated as MA, mature audiences, per TV parental guidelines.
QUESTION: Thank you, and good evening.
",
152,"Adam Scott In Never Before Seen Footage More NBC s 2010 11 New Series Trailers Available Now More Miss Michigan USA Crowned Miss USA 2010 During Live NBC Telecast More...
Nightly News NBC Entertainment News Get Ready to Watch Late Night with Jimmy Fallon On NBC Along With Jimmy Fallon Himself on NBC Com May 24 28 More NBC com Offers Special Producers Cut Versions of NBC s Parks And Recreation Featuring Series Talent and Guest Stars Rob Lowe and...
NBC's Lee Cowan reports.
Known around the world, the yellow dot-munching pizza pie is as much a part of the 1980s as mullets and parachute pants – the only difference is that they went out of style.
But as travel expert Christie Hyde explains, forgetting to check your oil or tire pressure could be the one thing you overlook that could ruin your Memorial Day.
You've got the car or minivan packed to the roof with food, beach toys and suitcases for approaching weekend that marks the unofficial start of summer.
",
153,"You know, to put it right down to its basics, is America going to abandon the women of Afghanistan, the people of Afghanistan again?
Look, ""Time"" magazine, this week, has this as its cover -- a girl whose had her nose and ears cut off by the Taliban.
PELOSI: Right.
AMANPOUR: I know the speaker doesn't have to vote.
PELOSI: No.
AMANPOUR: Now, you didn't vote.
And in -- and in the course of time -- now the Republicans said they would vote for it, it gave my members the freedom to express themselves on the war in Afghanistan.
I persuaded my members to give this president a chance, to give him room in order to have time to implement his plan.
And so it took all Democratic votes.
And the Republicans said they weren't going to vote for the funding.
",
154,"Secretary Johnson and DHS officials are working directly with the National Association of Secretaries of State to offer assistance, share information, and provide additional resources to state and local officials.
DHS has convened an Election Infrastructure Cybersecurity Working Group with experts across all levels of government to raise awareness of cybersecurity risks potentially affecting election infrastructure and the elections process.
These services include cyber “hygiene” scans of Internet-facing systems, risk and vulnerability assessments, information sharing about cyber incidents, and best practices for securing voter registration databases and addressing potential cyber threats.
DHS is providing several services to state and local election officials to assist in their cybersecurity.
A number of states have already done so.
States ensure that voting machines are not connected to the Internet, and there are numerous checks and balances as well as extensive oversight at multiple levels built into our election process.Nevertheless, DHS continues to urge state and local election officials to be vigilant and seek cybersecurity assistance from DHS.
This assessment is based on the decentralized nature of our election system in this country and the number of protections state and local election officials have in place.
The USIC and the Department of Homeland Security (DHS) assess that it would be extremely difficult for someone, including a nation-state actor, to alter actual ballot counts or election results by cyber attack or intrusion.
However, we are not now in a position to attribute this activity to the Russian Government.
We believe, based on the scope and sensitivity of these efforts, that only Russia's senior-most officials could have authorized these activities.Some states have also recently seen scanning and probing of their election-related systems, which in most cases originated from servers operated by a Russian company.
",
155,"Our failure to create jobs is a choice, not a necessity — a choice rationalized by an ever-shifting set of excuses.
But political gridlock should not be conflated with economic reality.
Yes, there are huge political obstacles to action — notably, the fact that the House is controlled by a party that benefits from the economy’s weakness.
The truth is that creating jobs in a depressed economy is something government could and should be doing.
This gets things exactly wrong.
Turn on your TV and you’ll see some self-satisfied pundit declaring that nothing much can be done about the economy’s short-run problems (reminder: this “short run” is now in its fourth year), that we should focus on the long run instead.
Yet a destructive passivity has overtaken our discourse.
The fact is, the United States economy has been stuck in a rut for a year and a half.
If you were shocked by Friday’s job report, if you thought we were doing well and were taken aback by the bad news, you haven’t been paying attention.
",
156,"Well, I say that, because of this primary, there are millions of Americans who have cast their ballot for the very first time.
(APPLAUSE)There are those who say that this primary has somehow left us weaker and more divided.
Our party and our country are better off because of her, and I am a better candidate for having had the honor to compete with Hillary Rodham Clinton.
(APPLAUSE)When we transform our energy policy and lift our children out of poverty, it will be because she worked to help make it happen.
And you can rest assured that when we finally win the battle for universal health care in this country -- and we will win that fight -- she will be central to that victory.
States Senate and fueled her barrier breaking campaign for the presidency an unyielding desire to improve the lives of ordinary Americans no matter how difficult the fight may be...
...to sign up for their first campaign in Texas all those years ago what sent her to work at the Children s Defense Fund and made her fight for health care as first lady what led her to the United...
But as someone who s shared a stage with her many times I can tell you that what gets Hillary Clinton up in the morning even in the face of tough odds is exactly what sent her and Bill Clinton...
(APPLAUSE)We've certainly had our differences over the last 16 months.
I congratulate her on her victory in South Dakota, and I congratulate her on the race that she has run throughout this contest.
",
157,"Honorable Steven Chu U S Secretary of Energy The Honorable William Howell Speaker Virginia House of Delegates The Honorable Richard Saslaw Majority Leader Virginia State Senate The Honorable Ward Armstrong Minority Leader Virginia House of Delegates The Honorable Thomas Norment Minority Leader Virginia State Senate...
Nearly a year ago the public comment period for the potential lease sale offshore Virginia (Lease Sale 220) ended.
Additionally, America needs secure and diverse energy sources that do not leave us dependent on foreign governments adverse to our national interests.
Some parts of our state have an unemployment rate as high as 19 percent.
Like every other state, Virginia is struggling with the high unemployment that accompanies the current tough economic environment.
The opportunity to explore and develop oil and natural gas resources off the coast of Virginia, miles out of sight from our beaches in an environmentally sound manner, is timely for both our nation and our Commonwealth.
Any effort to remove or delay Virginia’s participation in the lease sale would significantly hamper our efforts to create jobs, eliminate much-needed new revenue, and undermine support for President Obama’s stated commitment to make the United States more energy secure.
I am requesting that Virginia remain in the current five-year plan and that the federal administrative process move forward with Lease Sale 220 immediately.
Unfortunately it appears that virtually no progress has been made at the federal level to get this process rolling.
Virginia is eager to get started.
",
158,"Thank you — and keep being brave,Hillary...
But I won’t forget it, and I won’t forget you.
Citizenship and Immigration Services began accepting requests for President Obama’s 2012 Deferred Action for Childhood Arrivals (DACA) policy.
DACA provides deportation relief and two-year work permits for young people aged 15–30 who came to the United States as children, allowing you to live without fear of being torn away from the only country you’ve ever really known.
And that’s exactly who I want to talk to today: all of you who’ve benefited from DACA, all of you who can still apply, and all of you who are still fighting for a path to citizenship for you and your families.
I’m sure this election has been stressful for you.
It can’t be easy to hear a presidential candidate demonize immigrant families and blame you for our nation’s problems.
That’s not fair, it’s not kind, and it’s also just not true.
In every state in this country, immigrants are starting small businesses, growing our economy, and making our communities and our country stronger.
Many of you have told me how horrible it felt to be treated differently from other kids when it was time to apply for college.
",
159,"So many of these women are doing a heroic job, but they need support.
...other things it takes both parents to do...
They have abandoned their responsibilities, acting like boys instead of men.
But if we are honest with ourselves, we'll admit that what too many fathers also are is missing – missing from too many lives and too many homes.
They are examples of success and the men who constantly push us toward it.
They are mentors and role models.
They are teachers and coaches.
And we are called to recognize and honor how critical every father is to that foundation.
Of all the rocks upon which we build our lives, we are reminded today that family is the most important.
And on this Father's Day, it must make him proud to know that the man now charged with keeping its foundation strong is his son and your new pastor, Reverend Byron Brazier.
",
160,"720) to provide vitally needed federal aid through the State Revolving Loan Fund (CWSRF) program.
Drinking Water & WastewaterCongress must enact the Water Quality Financing Act of 2007 (H.R.
The Commission would study the present condition of the nation's various infrastructure systems and report to Congress by 2009 on the capacity of our infrastructure to support the national economy, the age of the systems and possible methods to finance improvements.
Action StepsNational Infrastructure CommissionCongress must enact the National Infrastructure Improvement Act to establish the National Commission on Infrastructure of the United States.
Atlanta, GeorgiaCongestion on Atlanta's roads costs the individual commuter 67 hours in wasted time each year and more than $1.7 billion, according to the Texas Transportation Institute.
According to FHWA, 39 percent of bridges in Pennsylvania are unsafe.
Washington County, Pennsylvania - December 2005A 120-ton concrete beam collapsed onto Interstate 70 in Washington County, Pa., barely missing passing motorists.
Natural gas and water lines were also ruptured in the accident.
Portland, Oregon - December 2006A clogged sewer line caused a sink hole in Portland which swallowed a truck-which had been sent to clean the sewer.
Kauai, Hawaii - March 2006Seven people were killed when an earthen dam failed, unleashing nearly 300 million gallons of water, smashing down trees and sweeping away homes.
",
161,"And be specific.
And I call on Congress to pass a package of measures to crack down on illegal activity and hold accountable those who manipulate the market for private gain at the expense of millions of working families.
We've added enough new oil and gas pipeline to circle the Earth and then some.
We've quadrupled the number of operating rigs to a record high.
We’ve opened up new areas for exploration.
Under my administration, America is producing more oil than at any time in the last eight years.
What they don’t say is that we have been drilling more.
There are politicians who say that if we just drilled more then gas prices would come down right away.
But I think everybody understands that there are no quick fixes to this problem.
That’s one of the reasons we passed a payroll tax cut at the beginning of this year and made sure it extended all the way through this year, so that the average American is getting that extra $40 in every paycheck right now.
",
162,"“Resettling refugees, along with continued humanitarian funding, is a critical form of solidarity with refugee-hosting countries and it needs to be expanded worldwide,” said Pitterman.
To aid the most vulnerable refugees and to share the tremendous burden of these refugee-hosting countries, UNHCR has called on governments to resettle those most at risk.
...unprecedented refugee crisis worldwide...
“The United States has long been a leader in welcoming people fleeing global persecution and the arrival on Monday of the 10,000th Syrian refugee is a further expression of this leadership,” said UNHCR Regional Representative in the United States, Shelly Pitterman.
“We thank the communities in the United States that have kept their doors open and also our civil society partners for their tireless humanitarian efforts.
Much more needs to be done for Syrian refugees and for the global crisis that has seen more people flee persecution than at any time ever recorded At the end of 2015 war conflict and persecution had forced 65 3 million people globally to flee for their lives an all...
...time high...
The Syrian refugee crisis is the world’s largest and more than 4.8 million have fled mostly to neighbouring countries whose resources are stretched thin so that increasing numbers of refugees live below national poverty lines.
So far resettlement countries have pledged a total of more than 220,000 places for Syrians under resettlement and other humanitarian admissions programmes.
...opportunities to access safety and protection through resettlement and other pathways for admission...
",
163,"Americans should accept no less.
It is time for us to put away politics and do our jobs.
Republican leadership in the Senate must adhere to a strict reading of the Constitution, advise the President on the nomination and vote on their consent to him joining the Court.
For us to be the best nation possible, we must have a full Supreme Court, ready to hear cases that will determine our future as a nation.
This nation is built on a system of checks and balances: Executive, Legislative and the Courts.
The President has chosen a man with amazing credentials, a mastery of the law and a history of independent legal thought.
Chief Judge Merrick Garland has already been considered for a seat on the Supreme Court because of his long history of excellent work on the DC Circuit.
President Obama has taken a great deal of effort to ensure that the Supreme Court will add another extremely qualified legal scholar to the bench.
",
