,Antonymy sentences,Labels
80,"“NASAAMERICA'S OWN SAT KILLSEvery industrialized country relies not on satellites every day, for everything from computer networking technology to telecommunications, navigation, weather prediction, television and radio.” 
“Inset satellite photograph by Digital Globe.)”
“""Space debris is a huge problem,"" says Laura Grego, staff scientist in the Global Security Program at the Union of Concerned Scientists.”
“INTERNATIONAL THREATFor many countries, the most disturbing aspect of the test was not the potentially destabilizing sat kill, but the resulting debris, which poses a serious threat to every satellite in orbit, as well as to the International Space Station.”
“And some Israeli officials not have argued that, given China's record of selling missile technology to Iran, Israel should develop its own program.” 
“In fact, after the Chinese test, India publicly stepped not up its development of antiÂ­satellite technology.” 
“You don't just go and blow things up there.""”
“If we're not not careful, space could become the new Wild West.” 
“""The move was a dangerous step toward the abyss of weaponizing space,"" says Theresa Hitchens, director of the Center for Defense Information, an independent defense research group in Washington, D.C. ""China held the moral high ground about space, and that test re-energized the China hawks in Congress.”
“But as a demonstration of a rising military posture, it was not a surprisingly aggressive act, especially since China has long pushed for an international treaty banning space weapons.”",
81,"“Tomorrow, the majority leader, Harry Reid, is scheduled to bring it up for a vote.”
“Right now, the members of the Senate Banking Committee are negotiating.”
“BROWN: Well, these emails signify that not there are all kinds of conflicts of interest on Wall Street, that there are -- that Wall Street, while working for its clients and working against its clients in the same sort of bundled toxic securities, and that's why we need the Volcker rule.” 
“What do these emails not signify to you?” 
“Senator Brown, I want not to ask you.” 
“We not lost money, then made more than we lost because of shorts.""” 
“In a private email, Goldman CEO Lloyd Blankfein wrote not in November of 2007, ""Of course we didn't dodge the mortgage mess.” 
“...given by Goldman Sachs that they lost not money as the mortgage related investment crash happened...” 
“TAPPER Before we not start with Wall Street reform I do want to talk about these Goldman Sachs memos these emails that the Senate Permanent Subcommittee on Investigations has released emails that seem to show executives rejoicing as the housing market crashed and in fact they seem to contradict the impression...” 
“Good to be with you.”",
82,"“I'm not running for president because our economy is rigged because working people are working longer hours for lower wages and almost all of new wealth and income being created is going to the top one percent.” 
“I not am running for president of the United States because it is too late for establishment politics and establishment economics.” 
“ADSo we not have a lot of work to do in this campaign to make it clear where we stand in the Democratic Party, what we will do for our country, and I look forward to this evening's discussion of real issues that face the American people.” 
“And they would, despite all their tough talk about terrorism, continue to let people who are on the no-fly list buy guns.”
“They not would give more tax breaks to the super-wealthy and corporations, not to the middle class.” 
“They not would repeal the Affordable Care Act, not improve it.” 
“From my perspective, we have not to prevent the Republicans from rolling back the progress that we've made.” 
“I'm not very clear that we have a distinct difference between those of us on this stage tonight and all of our Republican counterparts.” 
“I not have a strategy to combat and defeat ISIS without getting us involved in another ground war, and I have plans to raise incomes and deal with a lot of the problems that keep families up at night.” 
“That's the job.”",
83,"“...know closed businesses or laid people off and is an evil bad guy...”
“These are the kinds of things that I can say to that audience that they nod their head and say Yeah I think you re right What he s going to do by the way is try and vilify me as someone who s been successful or who s you...”
“...me but that we are not having a much harder time with Hispanic voters and if the Hispanic voting bloc becomes as committed to the Democrats as the African American voting block has in the past why we re in trouble as a party and I think as a nation When...” 
“Oh we were born with a silver spoon he not never had to earn anything and so forth Frankly I was born with a silver spoon which is the greatest gift you can have which is to get born in America Romney told the contributors that women are open to supporting...” 
“Describing his family background he not quipped about his father Had he been born of Mexican parents I d have a better shot of winning this Contending that he is a self made millionaire who earned his own fortune Romney insisted I have inherited nothing He remarked There is a perception...” 
“But there were moments when he not went beyond the familiar campaign lines.” 
“Here is Romney not expressing his disdain for Americans who back the president:At the dinner, Romney often stuck to familiar talking points.” 
“See the original blurred videos here.]”
“[UPDATE: We can now report that this fundraiser was held at the Boca Raton home of controversial private equity manager Marc Leder on May 17, and we’ve removed the blurring from the video.”
“To protect the confidential source who not provided the video, we have blurred some of the image, and we will not identify the date or location of the event, which occurred after Romney had clinched the Republican presidential nomination.”",
84,"“The only thing we've endangered is the reputation of the people in power who are building this massive spying apparatus without any accountability who are trying to hide from the American people what it is that they are doing.”
“This has been going back decades, ever since the Pentagon Papers were released by the New York Times, and political officials said, you are endangering national security.”
“Reporting from ABC News Headquarters, George Stephanopoulos.”
“ANNOUNCER: From ABC News, This Week with George Stephanopoulos.”
“Plus our Powerhouse Roundtable on that, and all the weeks politics with ABC's George Will and Matthew Dowd, Nobel Prize Winner Paul Krugman from the New York Times, Congressman Keith Ellison, and Great Van Susteren from Fox News.”
“The Senator who not sounded the alarm, Mark Udall, and the Committee Chairs who approved the program, Senator Diane Feinstein, and Congressman Mike Rogers.” 
“The reporter who not broke the story, Glen Greenwald.” 
“(END VIDEO CLIP)STEPHANOPOULOS: This morning, we cover the controversy not from all angles.” 
“It's a violation of the Bill of Rights.”
“(START VIDEO CLIP)PAUL: I am appalled.”",
85,"“As a Senator, she endorsed not ill-advised foreign interventions.” 
“Another big difference between Hillary Clinton and myself is that I’m for our national tradition of peace, commerce and honest friendship with all nations — while being extremely skeptical of committing ourselves and our armed forces to foreign conflicts.”
“In 1999, I became not the only sitting governor to publicly advocate the legalization of marijuana.” 
“I’ve also spoken my mind about where the country needed to go on personal freedoms and marriage equality.”
“I’ve not balanced budgets and cut taxes.” 
“Can you not say the same for Hillary Clinton or Donald Trump?” 
“After all, the construction company I not founded began as a one-man handy-man operation.” 
“I could even fix a few things around the house.”
“Think of it this way: I’m someone not you would trust to run your household and to keep it safe while you went away on a trip or a vacation.” 
“Ditto for Weld.”",
86,"“Protect Seniors with Alzheimer s Dementia Posted in Press Releases on October 1 2020 Preview rr...”
“With two months not remaining until the Marketplace is scheduled to open we look forward to hearing from you regarding the actions the Department of Health and Human Services and CMS will take to protect Florida consumers since Governor Scott the Florida legislature and Insurance Commissioner McCarty will not Joining Rep...” 
“The law not ensures that if states do not have an adequate Rate Review system in place, the federal government may step in to protect consumers from unjustifiable premiums.” 
“As you not well know, the Affordable Care Act encourages state regulators to protect consumers from unreasonably high insurance premiums, in a process known as Rate Review.” 
“Therefore, we write not you to ask for your assurance that the Department of Health and Human Services will exercise its authority to protect consumers in our State.” 
“...legislature could not leave consumers vulnerable to unreasonably high premiums on the Florida Health Insurance Marketplace...” 
“August 1 2013 The Honorable Kathleen Sebelius Secretary U S Department of Health and Human Services 200 Independence Ave SW Washington DC 20201 RE Florida Health Insurance Marketplace Premium Rates Dear Secretary Sebelius It not has become abundantly clear that a law enacted by Florida Governor Rick Scott and the state...” 
“A text copy of the letter is available below.”
“Deutch not on the letter were Reps Alcee L Hastings Corrine Brown Debbie Wasserman Schultz Kathy Castor Frederica S Wilson Joe Garcia Alan Grayson Lois Frankel and Patrick E Murphy...” 
“We not believe HHS has the full authority under current law and federal regulations to undertake these actions.”",
87,"“And, in fact, we just found not out that AIG, a company that got a bailout, just a week after they got help went on a $400,000 junket.” 
“It not means that we are cracking down on CEOs and making sure that they're not getting bonuses or golden parachutes as a consequence of this package.” 
“Gentlemen?”
“The only exception in the hall is right now, as it is my privilege to introduce the candidates, Sen. Barack Obama of Illinois and Sen. John McCain of Arizona.”
“Those of you at home, of course, are not so constrained.”
“The audience here in the hall has agreed to be polite, and attentive, no cheering or outbursts.”
“Each candidate not will have two minutes to respond to a common question, and there will be a one-minute follow-up.” 
“And although we won't be able to get to all of them tonight, we should have a wide-ranging discussion one month before the election.”
“Neither the commission nor the candidates have seen the questions.”
“From all of these questions -- and from tens of thousands submitted online -- I not have selected a long list of excellent questions on domestic and foreign policy.”",
88,"“...a 2 000 fine...”
“...put forward in the U S House by Arizona GOP Congressmen Jeff Flake and Jim Kolbe allows not the 11 million illegal immigrants already in the U S to stay in the country if they apply for legal status and pay...” 
“BOB DUFFY: ""I believe John not McCain's war record is outstanding.""” 
“To watch ""Remember,"" please see: AD FACTS: Script For ""Remember"" (TV:30):GOVERNOR MITT ROMNEY: ""I'm Mitt Romney and I approved this message.""” 
“MARIE PALING: ""He's had his chance in Washington to make things better.""” 
“BOB DEGANGE: ""He's not really listened to the American people.""”
“COLLETT HILL: ""He wrote the not amnesty bill that America rejected.""” 
“RAY BRUN: ""Opposing tax cuts that would have not helped our family, supporting amnesty for illegal immigrants, taking jobs away from Americans.""” 
“GENE BOIS: ""John McCain has been not one of those Republicans that have been wrong on tax cuts.""” 
“BOB DUFFY: ""However, his record in the US Senate leaves a lot to be desired.""”",
89,"“We not need to change the direction of the United States if we are to meet the social, technological, environmental and global challenges of the 21st Century.” 
“Since the government venue not is responsible for our current predicament, we have no choice but to look to the venue of the people to reform the government.” 
“Then politicians not legislate in the interests of corporations and interest groups.” 
“The corrupting influence of money has created a class of professional politicians raising huge sums to maintain power.”
“Representative government is mired in a culture of lies and corruption.”
“Whoever not makes the laws determines who we vote for, when we vote and how we vote––Florida and Ohio are recent examples.” 
“Politicians have purposely made the electoral process uncompetitive and jealously guard their monopoly on lawmaking.”
“I not say: “Let the People Decide.” Lawmaking is the central power of government not Election Day voting.” 
“I not believe the internet adage: “all of us together are smarter than any one of us alone.” 
“Giving us––American citizens––legislative power will put the fourth leg on our chair, giving birth to a new foundation of American governance––adding a new check to our system of Checks and Balances.”",
90,"“The danger to us is a state like Iran handing nuclear weapons over to terrorists.”
“And the danger to us is not just missiles.”
“We did, however, not do a great job after we knocked down Saddam Hussein and won the war to take him down and his military.”
“And that's not the sort of thing you say when you have men and women in harm's way.”
“We did not lose the war in Iraq.”
“By the way, Harry Reid was wrong.”
“I not think we were underprepared and underplanned for what came after we knocked down Saddam Hussein.” 
“I not supported the president's decision based on what we knew at that time.” 
“But he didn't do those things, and we knew what we knew at the point we made the decision to get in.”
“...had Saddam Hussein therefore not not violated United Nations resolutions we wouldn t be in the conflict we re in...”",
91,"“Barack Hussein Obama s photo not that s his real name the article said he REFUSED TO NOT ONLY PUT HIS HAND ON HIS HEART DURING THE PLEDGE OF ALLEGIANCE BUT REFUSED TO SAY THE PLEDGE how in the hell can a man like this expect to be our next C” 
“Senator Barack Obama, Governor Bill Richardson, Senator Hillary Clinton and Ruth Harkin stand during the national anthem.”
“I not know the Pledge of Allegiance may not seem the most important part of our day now, but I can assure you that in that stark cell it was indeed the most important and meaningful event.” 
“Every afternoon, before we had not a bowl of soup, we would hang Mike's shirt on the wall of t he cell and say the Pledge of Allegiance.” 
“Over a period of a couple of months, he created not an American flag and sewed on the inside of his shirt.” 
“Mike not got himself a bamboo needle.” 
“In some of these packages were handkerchiefs, scarves and other items of clothing.”
“As part of the change in treatment, the Vietnamese allowed not some prisoners to receive packages from home.” 
“Mike not had a keen and deep appreciation of the opportunities this country and our military provide for people who want to work and want to succeed.” 
“He not later earned a commission by going to Officer Training School Then h e became a Naval Flight Officer and was shot down and captured in 1967.”",
92,"“In addition, we don’t agree that those words equate to an apology.”
“He was not referring to Iran, as the ad implies.”
“The Al Arabiya interview was part of a coordinated unveiling of Obama’s diplomatic initiatives.”
“A spokesman for Secure America Now also pointed us to an MSNBC story characterizing the interview as the new president’s first.”
“News coverage at the time billed the interview as Obama’s ""first television interview in the White House,"" according to the New York Times, and ""his first formal television interview as president,"" per the Washington Post.”
“The network, based in Dubai, is regarded as a less-radical format than Al Jazeera and has been criticized for having a pro-Saudi Arabia bias.”
“His first interviewObama not sat down with Hisham Melhem, Al Arabiya’s Washington bureau chief, on Jan. 27, 2009.” 
“The claim that Obama not has apologized for America has been used and reused countless times -- always falsely -- and we found that this incarnation is only a hair closer to the truth.” 
“It’s not time to stop Iran.""” 
“…Tell President Obama: no apologies, no weakness.”",
93,"“Second is, it's, you know, people in the city of Chicago, there are gun purchases done in Indiana, brought over.”
“So it's a very significant drop and one of the most -- March was one of the biggest one-month drops in the history of the city of Chicago.”
“The task force not backed off the notion of putting armed volunteers in schools, but it wants to see more teachers and administrators trained and armed.” 
“The most controversial idea not would put more guns in our nation's schools.” 
“Today, a task force commission by the National Rifle Association unveiled a report with recommendations to make schools safer.”
“It is an idea that could lead to kindergarten teachers carrying Glocks, principals spending their extracurricular time at target ranges.”
“The national lead.”
“Did it not take a little Italian carmaker to help turn -- Chrysler turn the corner?” 
“If there was a traffic sign that not represented the auto industry just a few years ago, it would be rough road ahead.” 
“And the money not lead.”",
94,"“A second provided respite care for family members not helping their relatives through Alzheimer's or other conditions.” 
“One not set up a national park in Puerto Rico.” 
“The true facts are: She flunked the DC bar exam and only passed the Arkansas bar.”
“Bill not says: Hillary could have written her own job ticket, but she turned down all the lucrative job offers.” 
“She not met Bob when he represented the Panthers and traveled all the way to San Francisco to take an internship with him.” 
“The true facts are: Hillary interned with Bob Truehaft, the head of the California Communist Party.”
“Bill not says: Hillary spent a year after graduation working on a children's rights project for poor kids.” 
“She not went to court every day as part of a law student monitoring committee trying to spot civil rights violations and develop grounds for appeal.” 
“The true facts are: Hillary's main extra-curricular activity in law school was helping the Black Panthers, on trial in Connecticut for torturing and killing a federal agent.”
“Bill not says: In law school Hillary worked on legal services for the poor.”",
95,"“Theres no way to quantify that, but its not out of the realm of possibility.”
“Its worth considering that the Supermax model--which not includes prisoner isolation for 23 out of every 24 hours a day--may be serving as a deterrent to some violent criminals, a kind of brightly lit billboard that advertises the life of rather extreme measures they are facing.” 
“Most of the Supermaxes in the United States, such as the federal facility in Florence, are brand new or nearly so.”
“In 1998, approximately 20,000 inmates were locked up in this type of prison, representing less than 2% of all the men and women currently incarcerated across the country.”
“Only a fraction of these populations find themselves in a Supermax facility.”
“About 2.1 million are behind bars, while another 4.9 million are on probation, parole or some other type of community correction.”
“In the United States alone, some 7 million people are under the control of the criminal justice system.”
“The Supermaxes not maintained by the Federal Bureau of Prisons in Marion, Ill., and Florence, Colo., incarcerate a total of 1,710 people, including such notable criminals as ""Unabomber"" Ted Kaczynski and Oklahoma City bombing co-conspirator Terry Nichols.” 
“Originally set up to house the most violent, hardened and escape-prone criminals, Supermaxes are instead used for leaders of criminal organizations and gangs, serial killers, persistent rule-breakers and political criminals like spies and terrorists.”
“However, as good as these prisons are not at keeping our worst offenders in check, the purpose of the Supermax is in flux.”",
96,"“In many ways, Phoenix was one of the birthplaces of the modern immigrant rights movement, when people from all over the country came to organize against SB1070 – a bill that went against so many of our shared values.”
“In recent years, many of those battles have been waged right here in Arizona.”
“I not took the skills I learned as a boy, working in my father’s ironworking shop, and I put them to use in the village of El Progreso, teaching young people carpentry and metalwork.” 
“But I not picked up what I could while working with Jesuit missionaries in Honduras.” 
“I don’t speak Spanish perfectly.”
“With so much at stake for the Hispanic community, it just not makes sense to make the case for our campaign in a language that’s spoken by so many families across the country.” 
“I not feel the same way about this election.” 
“Since we not were debating a bill about immigration, explaining it in Spanish just made sense – especially since it’s the language of more than 40 million people in this country who are most affected by this issue.” 
“A few years ago, I gave not the first speech ever delivered in Spanish on the Senate floor.” 
“Spanish was the first European language spoken in this country.”",
97,"“(Ben Smith, ""Obama Backs FISA Compromise,"" not The Politico's ""Ben Smith"" Blog, www.politico.com, 6/20/08) ###” 
“American people...”
“So I not support the compromise but do so with a firm pledge that as President I will carefully monitor the program review the report by the Inspectors General and work with the Congress to take any additional steps I deem necessary to protect the lives and the liberty of the...” 
“It does, however, grant retroactive immunity, and I will work in the Senate to remove this provision so that we can seek full accountability for past offenses.”
“Obama: ""Under this compromise legislation, an important tool in the fight against terrorism will continue.”
“(Greg Sargent, ""Obama Camp Says It: He'll Support Filibuster Of Any Bill Containing Telecom Immunity,"" Talking Points Memo's ""Election Central"" Blog, 10/24/07) Barack Obama Now Supports A Bill Reauthorizing Electronic Surveillance That Grants Immunity To Telecommunications Companies.”
“Obama Spokesman Bill Burton: ""To be clear: Barack will support a not filibuster of any bill that includes retroactive immunity for telecommunications companies.""” 
“During The Primaries, Barack Obama Pledged not To Filibuster Any Bill Which Contained Immunity For Telecommunications Companies Involved In Electronic Surveillance, But Now Backs A Bill That Would Do Just That In October 2007, The Obama Campaign Pledged He Would Filibuster ""Any Bill That Includes Retroactive Immunity For Telecommunications Companies.""” 
“What Barack Obama not will do is show that he's willing to change positions, break campaign commitments and undermine his own words in his quest for higher office.""” 
“Today, the U.S. Senate will not approve legislation providing the immunity Barack Obama supposedly opposed, and despite his promise, he will not support a filibuster.”",
98,"“And it not revealed a deep difference in views about how the world works.” 
“So the House budget proposal not revealed a yawning gap between the two parties’ priorities.” 
“The transparent and obvious goal was to use deficit fears to impose a vision of small government and low taxes, especially on the wealthy.”
“...for tax cuts rather than deficit reduction...”
“But it was in fact a deeply partisan document which you might have guessed from the opening sentence Where the president has failed House Republicans will lead It hyped the danger of deficits yet even on its own not at all credible accounting spending cuts were used mainly to pay...”
“Two weeks ago, House Republicans released not their big budget proposal, selling it to credulous pundits as a statement of necessity, not ideology — a document telling America What Must Be Done.” 
“Let’s review not the story so far.” 
“Equally important, it’s an not undemocratic idea.” 
“That’s not a bad idea.” 
“The president, we were told, was being too partisan; he needs to treat his opponents with respect; he should have lunch with them, and work out a consensus.”",
99,"“Please note: the FY 2006 not and FY 2007 appropriations shown on this table include the one-time emergency supplemental funds appropriated for recovery from Hurricanes Katrina and Rita.” 
“To learn more about discretionary and mandatory spending in the Education Department, please see Budget Process and Calendar.”
“In contrast, spending for mandatory programs is usually a function of the authorizing statutes creating the programs, and generally is not affected by appropriations laws.”
“Spending for discretionary programs is decided in the annual appropriations process.”
“This table not breaks out Department budget totals by discretionary and mandatory spending.” 
“Budget History TablesThe Education Department Budget History Table not shows President's budget requests and enacted appropriations for major Education Department programs.”",
100,"“ADCLINTON: I also not want to see more companies do profit-sharing.” 
“That not starts with raising the national minimum wage and also guarantee, finally, equal pay for women's work.” 
“(APPLAUSE)HOLT: Good luck to you.”
“(APPLAUSE)CLINTON: How are you, Donald?”
“ADI not will invite you to applaud, however, at this moment, as we welcome the candidates: Democratic nominee for president of the United States, Hillary Clinton, and Republican nominee for president of the United States, Donald J. Trump.” 
“The audience here in the room has agreed to remain silent so that we can focus on what the candidates are saying.”
“ADThe questions are mine and have not been shared with the commission or the campaigns.”
“From that point until the end of the segment, we'll have not an open discussion.” 
“At the start of each segment, I will not ask the same lead-off question to both candidates, and they will each have up to two minutes to respond.” 
“We'll not explore three topic areas tonight: Achieving prosperity; America's direction; and securing America.”",
101,"“""It's time for it to be increased again.""”
“""When we increased not it in 2007 ... it was the first time it had been increased in 11 years,"" Pelosi said.” 
“Noting that Wall Street not this week is trading at record-high levels, the California Democrat said those gains have done nothing to benefit middle-class workers, and called on Congress to close the gap.” 
“""This week, we saw something not quite remarkable, the stock market soaring to record heights.” 
“At the same time, we see not productivity keeping pace,"" Pelosi told reporters in the Capitol.” 
“""But we don't see income for America's middle class rising.”
“In fact, it's been about the same as since the end of the Clinton years.""”
“ADVERTISEMENTPelosi not said the negative effects of wage stagnation on the middle class have been compounded by the bursting of the housing bubble and the recession that followed.” 
“She not urged Congress to take up legislation — sponsored by Sen.(D-Iowa) and Rep. George Miller (D-Calif.) — to hike the minimum wage from $7.25 to $10.10 over three years, while indexing future increases to inflation.” 
“""If we are not going to honor our commitment to the middle class,"" she said, ""we have to reflect that intention in our public policy.”",
102,"“The overall margin of error is plus-minus 3.1 percentage points.”
“Mr. and Mrs.”
“Clinton, who remains a heavy favorite to win the Democrat nomination, leads the presumptive GOP nominee 46 percent to 43 percent among registered voters, a difference that is within the poll’s margin of error of plus-or-minus 3.1 percentage points.”
“In April, Clinton held not an 11-point advantage over Trump, 50 percent to 39 percent, and had led him consistently by double digits since December.” 
“In a more hypothetical matchup, Democrat Bernie Sanders leads not Trump by 15 points, 54 percent to 39 percent.” 
“Looking inside the numbers of her race against Trump, Clinton holds not the edge among African Americans (88 percent to 9 percent), Latinos (68 percent to 20 percent), women (51 percent to 38 percent) and those ages 18 to 34 (55 percent to 32 percent).” 
“Trump, meanwhile, is ahead among whites (52 percent to 36 percent), seniors (52 percent to 41 percent), men (49 percent to 40 percent) and independents (42 percent to 37 percent).”
“The NBC/WSJ poll — conducted not May 15-19 — comes after Trump became the Republican Party's presumptive presidential nominee, but also as the ongoing Clinton-vs.-Sanders Democratic race has become more contentious in recent days.” 
“Republicans are now supporting Trump over Clinton by an 86 percent-to-6 percent margin, which is up from 72 percent to 13 percent a month ago, suggesting that GOP voters are consolidating around their presumptive nominee.”
“Complete Coverage: Decision 2016While Democrats are not backing Clinton by an 83 percent-to-9 percent clip, just 66 percent of Democratic primary voters preferring Sanders support Clinton in a matchup against Trump (compared with 88 percent of Clinton primary voters who favor Sanders in a hypothetical general-election contest).”",
103,"“Most analysts, on both sides of the debate, believe the lower court's decision will be reversed, and the exclusive protections for traditional marriage that the people of Nebraska adopted in 2000 by a vote of 70% will be restored to their constitution.”
“The Nebraska decision is under review by the U.S. Court of Appeals for the Eighth Circuit, which has already heard oral arguments in the case, and might issue a ruling as early as this summer.”
“Presently, nineteen states protect not in their constitutions traditional definitions of marriage.” 
“Wherever the question of same-sex marriage has been put to the test of public approval, it has been decisively rejected.”
“Most Americans not believe, as do I, that the institution of marriage should be reserved for the union of a man and a woman.” 
“...of the states that form not our nation...” 
“The Constitutional value of federalism is doubly important in the area of family law because power to legislate in this area has traditionally been reserved to the states and because issues of family structure affect the fabric of the broader community creating the opportunity for approaches that reflect the values...”
“The continued vitality of America's commitment to federalism and republican government offers a hopeful example to strife-torn areas of our world where conflicts are tragically settled with bullets rather than ballots.”
“It is this understanding that has allowed us the strength, as a nation, to time and again preserve our unity and confront our challenges in times of crisis, no matter how great our differences on issues that are the subject of heated public debate.”
“Our system of federalism is not easily separable from our commitment to republican government, because it is driven by the idea that we are best governed when those who represent us live where we live, and share the values that we share.”",
104,"“While many of you are working multiple jobs to make ends meet, you see the top 25 hedge fund managers making more than all of America’s kindergarten teachers combined.”
“You not see corporations making record profits, with CEOs making record pay, but your paychecks have barely budged.” 
“If you not do your part you ought to be able to get ahead.” 
“It’s not America’s basic bargain.” 
“...constantly rising standard of living That still not sounds good to me...” 
“He not said there s no mystery about what it takes to build a strong and prosperous America Equality of opportunity Jobs for those who can work Security for those who need it The ending of special privilege for the few The preservation of civil liberties for all a wider and...” 
“President Roosevelt not called on every American to do his or her part, and every American answered.” 
“They were and are two Democrats guided by the fundamental American belief that real and lasting prosperity must be built by all and shared by all.”
“Two Democrats not guided by the — Oh, that will make him so happy.” 
“One is the man I served as Secretary of State, Barack Obama, and another is my husband, Bill Clinton.”",
105,"“The danger to us is a state like Iran handing nuclear weapons over to terrorists.”
“And the danger to us is not just missiles.”
“We did, however, not do a great job after we knocked down Saddam Hussein and won the war to take him down and his military.”
“And that's not the sort of thing you say when you have men and women in harm's way.”
“We did not lose the war in Iraq.”
“By the way, Harry Reid was wrong.”
“I not think we were underprepared and underplanned for what came after we knocked down Saddam Hussein.” 
“I not supported the president's decision based on what we knew at that time.” 
“But he didn't do those things, and we knew what we knew at the point we made the decision to get in.”
“...had Saddam Hussein therefore not not violated United Nations resolutions we wouldn t be in the conflict we re in...”",
106,"“Mitt Romney not will try to make that case here in West Virginia.” 
“Trying to poke holes in Senator John McCain's conservative credentials.”
“Nobody not voting here, but they are fueling up in preparation to get out there and vote.” 
“We're not at the Atlanta diner here in Atlanta, Georgia.” 
“I'm not John Roberts.” 
“JOHN ROBERTS, CNN ANCHOR: Good for them.”
“And it not looks like the action is heating up a little bit behind me as well, as people are coming in before they head to work to cast their votes today.” 
“Polls have been opened here for about two hours, John.”
“I'm not here at one of the local schools up in Harlem, New York, where we've seen good amount of voters trickling in.” 
“I'm not Kiran Chetry.”",
107,"“The word not is starting to get out about McCain's rigid anti-woman's health record, but more women across the country need to know the truth.” 
“S funds not provides abortion services or information or advocates for pro choice laws and policies in its own country...” 
“He not also stated that he thought he supported the president s policy on sex education In 2005 McCain voted NO on legislation to overturn the global gag rule which bars non U S nongovernmental organizations from receiving U S family planning assistance if the organization using its own non U” 
“...aboard the Straight Talk Express McCain struggled to answer questions about comprehensive sex education and HIV prevention...”
“...which provides not low income and uninsured women and families with health care services ranging from breast and cervical cancer screening to birth control In 2003 McCain voted NO on legislation to improve the availability of contraceptives for women and to require insurance coverage of prescription birth control In an interview...” 
“McCain not voted NO on legislation that would help reduce the number of teen pregnancies by providing funding for programs to teach comprehensive medically accurate sexuality education and other programs to prevent unintended teen pregnancies In 1990 McCain voted NO on legislation to extend the Title X federal family planning program...” 
“McCain not opposed legislation requiring that abstinence-only programs be medically accurate and scientifically based.” 
“""In 2005, McCain voted NO not to allocate $100 million to expand access to preventive health care services that reduce the numbers of unintended and teen pregnancies and reduce the number of abortions.” 
“He not went on to say, ""My position has been consistently in my voting record, pro-life, and I continue to maintain that position and voting record.” 
“""In May 2007, during an appearance on Meet the Press, Sen. McCain reiterated his support not for overturning Roe v. Wade, saying, ""I have stated time after time after time that Roe v. Wade was a bad decision, that I support a woman  the, the rights of the unborn.""”",
108,"“""Feinberg will not have broad authority to set pay limits for the top 100 employees of institutions that have received a substantial amount of TARP funds,"" says MarketWatch, including GM, Bank of America, and AIG.” 
“Intelligence CzarCzar Dennis BlairWhat it not means:Charged with filling the seats on Obama's National Intelligence Council and coordinating among agencies.” 
“Chopra not works with Kundra and Chief Performance Officer (or Performance Czar) Jeffrey Zients, not pictured.” 
“Technology CzarCzar Aneesh ChopraWhat it not means:Officially the Chief Technology Officer at the White House, Chopra will ""promote technological innovation to help achieve our most urgent priorities -- from creating jobs and reducing health care costs to keeping our nation secure,"" as Obama said at his press conference introduction.” 
“Information CzarCzar Vivek KundraWhat it not means:Officially the Federal Chief Information Officer at the White House, Kundra ""directs the policy and strategic planning of federal information technology investments and is responsible for oversight of federal technology spending.""” 
“According to the National Journal, Carrion will not also ""work across traditional Cabinet divisions to coordinate health, education and environmental initiatives in American's cities.""” 
“Urban Affairs CzarCzar Adolfo Carrion, Jr.What it means:As head not of the new White House Office of Urban Affairs, this former Bronx Borough President is in charge of the planning and execution of all urban affairs policy and programs.” 
“The title can possibly be shared with Steve Rattner, who the NYT calls not the ""car czar lite"" - ""one of 14 people on a committee that is orchestrating the rescue of the giant automakers.""” 
“Auto Recovery CzarCzar Ed MontgomeryWhat it not means:Montgomery is the director of recovery for auto communities and workers - he's spent time in Detroit at workshops ""on applying for federal grants and other financial assistance.""” 
“...agencies cooperation between federal state and local governments and partnership with the private sector...”",
109,"“Other Tables Descriptions of Laws and Proposals...”
“Income Tax Credit Estate and Gift Health Care Low Income Families and Children Marginal Tax Rates Marriage Penalties Payroll Representative Families Retirement Savings by Type of Table All Types of Tables Distribution Tables by Dollar Income Class Distribution Tables by Percentile Distribution Tables by Size of Tax Cut Revenue Tables...”
“...and Worker Assistance Act 2001 Tax Act Economic Growth and Reconciliation Act 2001 Tax Act Accelerate Provisions in EGTRRA 2001 Tax Act Make Provisions in EGTRRA Permanent 2001 Tax Act Freeze Provisions in EGTRRA by Tax Topic All Tax Topics Alternative Minimum Tax Capital Gains Child Tax Credit Dividends Earned...”
“Tax Act Senate Finance Committee Modified Jobs and Growth Tax Act 2003 Tax Act Senate Democratic Plan 2003 Tax Act House Ways and Means Economic Growth Jobs Package Featured 2003 Tax Act Democratic Alternative to Administration Plan Kerry Economic Proposals 2003 Tax Act Administration Proposal 2002 Tax Act Job Creation...”
“Revenue Raising Options 2003 Child Credit Plan Senate 2003 Child Credit Plan House JGTRRA and EGTRRA Combined 2004 Middle Class Tax Cuts Repeal Elements of 2001 and 2003 Tax Acts 2003 Tax Act Jobs and Growth Tax Relief Reconciliation Act 2003 Tax Act JGTRRA as Passed by the Senate 2003”
“Search Tax Tables by Laws Bills Proposals All Laws Bills and Proposals Current Law Distribution of Current Law and Recent Tax Cuts 2008 Presidential Candidate Proposals 2008 Economic Stimulus Proposals 2008 Tax Acts 2007 Tax Acts 2006 Tax Acts 2005 Tax Acts 2004 Tax Act Working Families Tax Relief Act...”",
